t,     mx,           my,            mz
4.52e-10, -0.78310353, -0.46723671, -0.41033147
4.54e-10, -0.78677611, -0.49913311, -0.363017
4.56e-10, -0.79080833, -0.52639496, -0.31218849
4.58e-10, -0.79509622, -0.5487077, -0.25821102
4.6e-10, -0.79951379, -0.5657748, -0.20151505
4.62e-10, -0.80392307, -0.57732482, -0.14260728
4.64e-10, -0.80818675, -0.58312356, -0.0820738
4.66e-10, -0.81218187, -0.5829878, -0.020573469
4.68e-10, -0.81580969, -0.57680076, 0.041178611
4.7e-10, -0.81900092, -0.56452459, 0.10243438
4.72e-10, -0.82171524, -0.54620908, 0.16243853
4.74e-10, -0.82393652, -0.52199535, 0.2204526
4.76e-10, -0.82566617, -0.49211445, 0.27577505
4.78e-10, -0.82691648, -0.45688195, 0.32775645
4.8e-10, -0.82770462, -0.41669024, 0.37581045
4.82e-10, -0.82804865, -0.37199884, 0.41942115
4.84e-10, -0.82796502, -0.32332412, 0.45814795
4.86e-10, -0.82746748, -0.27122865, 0.49162853
4.88e-10, -0.82656715, -0.21631057, 0.51958063
4.9e-10, -0.82527346, -0.15919296, 0.54180252
4.92e-10, -0.82359566, -0.10051319, 0.55817257
4.94e-10, -0.8215446, -0.040912566, 0.56864766
4.96e-10, -0.81913477, 0.018974338, 0.57326038
4.98e-10, -0.8163859, 0.078530052, 0.57211502
5e-10, -0.81332409, 0.13716431, 0.56538226
5.02e-10, -0.8099821, 0.19432332, 0.55329277
5.04e-10, -0.80639862, 0.24949757, 0.53613001
5.06e-10, -0.80261692, 0.30222751, 0.51422267
5.08e-10, -0.79868337, 0.35210695, 0.48793707
5.1e-10, -0.79464627, 0.39878406, 0.45766991
5.12e-10, -0.79055539, 0.44196093, 0.42384135
5.14e-10, -0.78646233, 0.48139174, 0.38688861
5.16e-10, -0.78242147, 0.51688045, 0.34725988
5.18e-10, -0.77849133, 0.54827802, 0.30540839
5.2e-10, -0.77473619, 0.57547897, 0.261787
5.22e-10, -0.77122795, 0.59841728, 0.21684263
5.24e-10, -0.76804821, 0.61706129, 0.17101052
5.26e-10, -0.765291, 0.63140678, 0.12470775
5.28e-10, -0.76306579, 0.64146789, 0.07832444
5.3e-10, -0.761501, 0.64726422, 0.032211137
5.32e-10, -0.76074689, 0.64880264, -0.013341597
5.34e-10, -0.76097499, 0.64605163, -0.058136087
5.36e-10, -0.7623677, 0.63890701, -0.1021179
5.38e-10, -0.7650851, 0.62715383, -0.14544091
5.4e-10, -0.76919163, 0.61044438, -0.18851587
